Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	10	0	0.00671068798	101325.619	101325.619	101325.619	101325.619	0	0	0	0	5575.7	0	0	3
2	13	0	0.013421376	101325.46	101325.54	101325.46	101325.619	0.0796167554	0	0	0	753.157	0	0	3
3	17	0	0.0201320639	101325.543	101325.541	101325.46	101325.619	0.0796167554	0	0	0	672.823	0	0	3
4	20	0	0.0268427519	101325.209	101325.458	101325.209	101325.619	0.161386671	0	0	0	489.94	0	0	3
5	24	0	0.0335534399	101325.907	101325.548	101325.209	101325.907	0.161386671	0	0	0	555.855	0	0	3
6	28	0	0.0402641279	101325.185	101325.487	101325.185	101325.907	0.161386671	0	0	0	487.551	0	0	3
7	31	0	0.0469748158	101325.859	101325.54	101325.185	101325.907	0.161386671	0	0	0	495.671	0	0	3
8	34	0	0.0536855038	101325.151	101325.492	101325.151	101325.907	0.161386671	0	0	0	491.446	0	0	3
9	38	0	0.0603961918	101325.92	101325.539	101325.151	101325.92	0.161386671	0	0	0	490.885	0	0	3
10	41	0	0.0671068798	101325.097	101325.495	101325.097	101325.92	0.161386671	0	0	0	482.288	0	0	3
11	44	0	0.0738175678	101325.855	101325.528	101325.097	101325.92	0.161386671	0	0	0	476.746	0	0	3
12	48	0	0.0805282557	101325.115	101325.493	101325.097	101325.92	0.161386671	0	0	0	473.033	0	0	3
13	51	0	0.0872389437	101325.808	101325.518	101325.097	101325.92	0.161386671	0	0	0	472.969	0	0	3
14	55	0	0.0939496317	101325.117	101325.489	101325.097	101325.92	0.161386671	0	0	0	473.02	0	0	3
15	58	0	0.10066032	101325.781	101325.509	101325.097	101325.92	0.161386671	0	0	0	475.38	0	0	3
16	61	0	0.107371008	101325.199	101325.489	101325.097	101325.92	0.161386671	0	0	0	472.859	0	0	3
17	65	0	0.114081696	101325.7	101325.502	101325.097	101325.92	0.161386671	0	0	0	471.606	0	0	3
18	68	0	0.120792384	101325.246	101325.487	101325.097	101325.92	0.161386671	0	0	0	474.652	0	0	3
19	71	0	0.127503072	101325.706	101325.499	101325.097	101325.92	0.161386671	0	0	0	465.865	0	0	3
20	75	0	0.13421376	101325.327	101325.49	101325.097	101325.92	0.161386671	0	0	0	464.875	0	0	3
21	78	0	0.140924448	101325.674	101325.499	101325.097	101325.92	0.161386671	0	0	0	462.849	0	0	3
22	82	0	0.147635136	101325.401	101325.495	101325.097	101325.92	0.161386671	0	0	0	464.049	0	0	3
23	85	0	0.154345823	101325.67	101325.502	101325.097	101325.92	0.161386671	0	0	0	461.49	0	0	3
24	89	0	0.161056511	101325.426	101325.499	101325.097	101325.92	0.161386671	0	0	0	460.57	0	0	3
25	92	0	0.167767199	101325.666	101325.506	101325.097	101325.92	0.161386671	0	0	0	463.061	0	0	3
26	95	0	0.174477887	101325.502	101325.506	101325.097	101325.92	0.161386671	0	0	0	464.188	0	0	3
27	99	0	0.181188575	101325.68	101325.512	101325.097	101325.92	0.161386671	0	0	0	462.518	0	0	3
28	102	0	0.187899263	101325.582	101325.515	101325.097	101325.92	0.161386671	0	0	0	461.793	0	0	3
29	106	0	0.194609951	101325.696	101325.521	101325.097	101325.92	0.161386671	0	0	0	461.731	0	0	3
30	109	0	0.201320639	101325.645	101325.525	101325.097	101325.92	0.161386671	0	0	0	460.49	0	0	3
31	112	0	0.208031327	101325.694	101325.53	101325.097	101325.92	0.161386671	0	0	0	460.712	0	0	3
32	116	0	0.214742015	101325.667	101325.535	101325.097	101325.92	0.161386671	0	0	0	459.367	0	0	3
33	119	0	0.221452703	101325.67	101325.539	101325.097	101325.92	0.161386671	0	0	0	458.078	0	0	3
34	123	0	0.228163391	101325.646	101325.542	101325.097	101325.92	0.161386671	0	0	0	457.529	0	0	3
